Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,1571.28,bp23_205aprh25.mat
5,10,1096.92,bp23_205aprh25.mat
10,15,1072.04,bp23_205aprh25.mat
15,20,667.6,bp23_205aprh25.mat
20,25,735.96,bp23_205aprh25.mat
25,30,522.4,bp23_205aprh25.mat
30,35,540.92,bp23_205aprh25.mat
35,40,46.48,bp23_205aprh25.mat
40,45,0,bp23_205aprh25.mat
45,50,0,bp23_205aprh25.mat
50,55,0,bp23_205aprh25.mat
55,60,0,bp23_205aprh25.mat
60,65,0,bp23_205aprh25.mat
65,70,0,bp23_205aprh25.mat
70,75,0,bp23_205aprh25.mat
75,80,0,bp23_205aprh25.mat
80,85,0,bp23_205aprh25.mat
85,90,0,bp23_205aprh25.mat
90,95,0,bp23_205aprh25.mat
95,100,0,bp23_205aprh25.mat
