Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,67.1,bp24_204b_prh50_auto.mat
5,10,18.62,bp24_204b_prh50_auto.mat
10,15,23.72,bp24_204b_prh50_auto.mat
15,20,53.96,bp24_204b_prh50_auto.mat
20,25,35.46,bp24_204b_prh50_auto.mat
25,30,27.46,bp24_204b_prh50_auto.mat
30,35,11.78,bp24_204b_prh50_auto.mat
35,40,15.54,bp24_204b_prh50_auto.mat
40,45,0,bp24_204b_prh50_auto.mat
45,50,0,bp24_204b_prh50_auto.mat
50,55,0,bp24_204b_prh50_auto.mat
55,60,0,bp24_204b_prh50_auto.mat
60,65,0,bp24_204b_prh50_auto.mat
65,70,0,bp24_204b_prh50_auto.mat
70,75,0,bp24_204b_prh50_auto.mat
75,80,0,bp24_204b_prh50_auto.mat
80,85,0,bp24_204b_prh50_auto.mat
85,90,0,bp24_204b_prh50_auto.mat
90,95,0,bp24_204b_prh50_auto.mat
95,100,0,bp24_204b_prh50_auto.mat
